UserID,TotalCourses,TotalSpending,CategoryDiversity,AvgRating,PreferredCategory,PreferredLevel,Cluster,Segment,PCA1,PCA2
U00001,1,394.26,1,1.35,2,2,3,Career Focused Learners,-0.5294756416204935,-1.8909507306235984
U00002,1,0.0,1,2.88,9,1,0,Inactive Learners,-1.0018990847053488,-0.2773591910143868
U00003,11,613.98,7,2.889090909090909,8,0,1,Premium Power Learners,2.3498703111953945,-0.21993415500944705
U00004,13,982.05,8,3.451538461538461,5,2,1,Premium Power Learners,3.2525811303194967,0.37867006290298366
U00005,2,346.71,2,2.055,9,0,0,Inactive Learners,-0.24218003753169495,-1.141523287075818
U00006,1,0.78,1,3.89,7,0,4,Quality Seekers,-1.0133494573027957,0.7856300861292134
U00007,1,0.0,1,1.91,2,2,3,Career Focused Learners,-0.990040110753934,-1.2982561734411135
U00008,1,0.0,1,4.1,6,2,4,Quality Seekers,-1.0168144952421798,1.0066555703883004
U00009,1,276.37,1,2.72,4,0,2,Beginner Learners,-0.6818938154778704,-0.4480753403174101
U00010,2,326.02,2,3.165,0,1,3,Career Focused Learners,-0.2795608591580726,0.0268933923850287
U00011,2,299.57,2,3.205,3,0,2,Beginner Learners,-0.31048879342447894,0.06921434646345154
U00012,2,327.99,2,1.515,4,0,0,Inactive Learners,-0.257121283490428,-1.7097004916011604
U00013,14,1432.33,8,2.869285714285714,7,0,1,Premium Power Learners,3.9132590579630055,-0.23521607936255587
U00014,1,0.0,1,1.81,7,0,0,Inactive Learners,-0.9888175361197675,-1.4035032850314977
U00015,14,2035.06,10,2.7607142857142857,0,1,1,Premium Power Learners,5.038739010744629,-0.34587208317483864
U00016,1,0.0,1,4.79,8,0,4,Quality Seekers,-1.0252502602179285,1.7328606403619518
U00017,3,963.18,3,4.65,0,1,3,Career Focused Learners,0.7861692578861944,1.591498568862718
U00018,16,1468.03,9,3.108125,0,1,1,Premium Power Learners,4.437431762386235,0.02559080631882696
U00019,1,0.0,1,4.51,4,1,4,Quality Seekers,-1.0218270512422623,1.4381687279088757
U00020,1,0.0,1,2.88,9,1,0,Inactive Learners,-1.0018990847053488,-0.2773591910143868
