UserID,TotalCourses,TotalSpending,CategoryDiversity,AvgRating,PreferredCategory,PreferredLevel,Cluster,Segment
U00001,1,394.26,1,1.35,2,2,3,Career Focused Learners
U00002,1,0.0,1,2.88,9,1,0,Inactive Learners
U00003,11,613.98,7,2.889090909090909,8,0,1,Premium Power Learners
U00004,13,982.05,8,3.451538461538461,5,2,1,Premium Power Learners
U00005,2,346.71,2,2.055,9,0,0,Inactive Learners
U00006,1,0.78,1,3.89,7,0,4,Quality Seekers
U00007,1,0.0,1,1.91,2,2,3,Career Focused Learners
U00008,1,0.0,1,4.1,6,2,4,Quality Seekers
U00009,1,276.37,1,2.72,4,0,2,Beginner Learners
U00010,2,326.02,2,3.165,0,1,3,Career Focused Learners
U00011,2,299.57,2,3.205,3,0,2,Beginner Learners
U00012,2,327.99,2,1.515,4,0,0,Inactive Learners
U00013,14,1432.33,8,2.869285714285714,7,0,1,Premium Power Learners
U00014,1,0.0,1,1.81,7,0,0,Inactive Learners
U00015,14,2035.06,10,2.7607142857142857,0,1,1,Premium Power Learners
U00016,1,0.0,1,4.79,8,0,4,Quality Seekers
U00017,3,963.18,3,4.65,0,1,3,Career Focused Learners
U00018,16,1468.03,9,3.108125,0,1,1,Premium Power Learners
U00019,1,0.0,1,4.51,4,1,4,Quality Seekers
U00020,1,0.0,1,2.88,9,1,0,Inactive Learners
U00021,2,177.34,2,3.135,2,0,2,Beginner Learners
U00022,1,0.0,1,4.68,10,1,4,Quality Seekers
U00023,1,0.0,1,4.51,4,1,4,Quality Seekers
U00024,1,0.0,1,3.93,2,2,3,Career Focused Learners
U00025,4,119.04,4,2.605,6,0,2,Beginner Learners
U00026,1,327.99,1,1.51,10,1,0,Inactive Learners
U00027,2,0.0,2,2.915,2,0,2,Beginner Learners
U00028,12,1012.66,9,3.015,6,1,1,Premium Power Learners
U00029,1,326.02,1,2.69,1,2,3,Career Focused Learners
U00030,1,0.0,1,3.45,10,2,4,Quality Seekers
U00031,1,0.0,1,2.2,11,1,0,Inactive Learners
U00032,1,285.05,1,1.96,1,1,3,Career Focused Learners
U00033,1,276.37,1,2.72,4,0,2,Beginner Learners
U00034,2,248.1,2,2.67,0,1,3,Career Focused Learners
U00035,1,0.78,1,3.89,7,0,4,Quality Seekers
U00036,1,0.0,1,3.85,9,1,4,Quality Seekers
U00037,2,0.0,2,1.985,2,0,2,Beginner Learners
U00038,1,0.0,1,3.93,2,2,3,Career Focused Learners
U00039,1,346.71,1,1.23,10,0,0,Inactive Learners
U00040,1,0.0,1,3.85,9,1,4,Quality Seekers
U00041,2,326.02,2,3.5650000000000004,1,1,3,Career Focused Learners
U00042,1,89.59,1,2.68,0,2,3,Career Focused Learners
U00043,1,327.99,1,1.51,10,1,0,Inactive Learners
U00044,1,299.57,1,3.74,3,1,3,Career Focused Learners
U00045,14,1209.79,9,3.375,10,1,1,Premium Power Learners
U00046,2,0.0,2,1.325,4,0,0,Inactive Learners
U00047,1,0.0,1,3.6,3,2,3,Career Focused Learners
U00048,13,356.89,9,3.329230769230769,4,1,1,Premium Power Learners
U00049,1,0.0,1,3.45,10,2,4,Quality Seekers
U00050,1,0.0,1,2.61,4,0,2,Beginner Learners
U00051,1,0.0,1,4.51,4,1,4,Quality Seekers
U00052,1,0.78,1,3.89,7,0,4,Quality Seekers
U00053,1,53.86,1,2.47,6,1,0,Inactive Learners
U00054,1,490.9,1,4.55,0,1,3,Career Focused Learners
U00055,16,1448.25,9,3.055625,4,0,1,Premium Power Learners
U00056,2,0.0,2,2.745,4,0,2,Beginner Learners
U00057,1,487.92,1,3.64,1,0,2,Beginner Learners
U00058,1,117.68,1,2.57,3,0,2,Beginner Learners
U00059,1,0.0,1,4.51,4,1,4,Quality Seekers
